Key,Content
battle_pre_draw_net_error,"Signal instabil. Verbinde erneut mit dem Schlachtfeld…"
battle_pre_draw_error,"Truppen reagieren…"
unit_attr_3,Schadensart
sort_type_name_2,"Kürzlich erworben"
card_filter_0_2,Staudebau
unit_attr_desc_7_7,"Boden und Luft"
clear,Klar
unit_attr_1,Attacke
card_filter_0_3,Panzer
card_filter_4_2,Selten
card_filter_4_4,Legendär
unit_attr_desc_6_1,Einzel
unlock_with_level_tips,"Mit Levels freischalten"
card_filter_5_2,Boden
card_filter_4_3,Epos
unit_attr_8,"Bevorzugtes Ziel"
unit_attr_2,Gesundheit
unit_attr_desc_11_5,Schmücken
unit_attr_desc_6_2,Spritzen
unit_attr_7,"Einheitentyp gezielt"
filter,Filter
status,Status
finish,Beenden
merge,Zusammenführen
my_card,Truppen
card_filter_5_4,Luft
not_obtain,"Diese Einheit wurde noch nicht freigeschaltet"
moveType,"Schalttyp verschieben"
quality,Seltenheit
unit_attr_desc_7_4,Luft
upgrade,Aktualisierung
card_to_collect,Gesammelt
normal,Normal
sort,Sortieren
unit_attr_4,Angriffsgeschwindigkeit
card_filter_0_1,Krieger
unit_attr_5,Upgradezeit
unit_attr_9,Kosten
unit_attr_desc_7_3,Boden
unit_attr_10,Bewegungsgeschwindigkeit
unit_attr_6,Angriffstyp
card_filter_0_4,Attentäter
validity,"Gültigkeit: {0} Tage"
gem_supply_advanced_title,30-Tage-Erweiterungspass
daily_supply,Tagesvorrat
gem_supply,Edelstein-Pass
gem_supply_basic_title,30-Tage-Basispass
renew,Erneuern
claim_daily,"Täglich holen"
subscribe,Abonnement
vip_claim,"Tägliche Belohnungen beanspruchen"
basic_supply,Basisversorgung
vip_remain,"VIP nimmt wirksam"
restore,Wiederherstellen
advanced_supply,"Erweiterte Versorgung"
resource_not_enough_201,"Nicht genug Edelsteine"
purchase,Kaufen
gf_tab_name_5,Schmiedestein
growth_fund,Wachstumsfonds
get_more_army,"Erhalte mehr Soldaten"
gf_banner_desc_5_format,"Genießen Sie Ihre exklusive <color=#ffe300><size=42>{0}</size></color> Wert-Rückerstattung!"
choice_army_4,"Wähle legendären Soldaten"
total_earned,"Gesamt erhalten"
gf_banner_title_4,Edelstein-Wachstumsfonds
gf_banner_desc_4_format,"Genießen Sie Ihren exklusiven <color=#ffe300><size=42>{0}</size></color> Rabatt!"
gf_shop_banner_desc,"Steigere deine EXP, um großzügige Belohnungen zu erhalten!"
build_your_own_army,"Bauen Sie Ihre ultimative Armee auf!"
troop_choice_pack,Soldaten-Wahlpaket
gf_rwd_claim_cond,"Wachstumsfonds freischalten, um Belohnungen zu erhalten"
choice_army_5,"Wähle mythischen Soldaten"
skin_store,Kosmetika
vip_subscribe_now,"Abonniere jetzt"
shop_goods_105,Woche
shop_coin,Münzen
buy_now,"Jetzt kaufen"
store_purchase_content,"Sehr geehrter Kommandant,

Ihr kürzlicher Einkauf im 89T Store wurde erfolgreich abgeschlossen! In dieser E-Mail finden Sie die gekauften Artikel.

Vielen Dank für Ihre Unterstützung! Genießen Sie Ihre Belohnungen und erobern Sie weiter!

- War Inc: Rising"
resource_not_enough_101,"Nicht genug Münzen"
christmas_gift_chatBubble_1,"Weihnachts-Style-Paket I"
immediate_receive,"Jetzt verfügbar"
christmas_gift_2,"Weihnachtsgeschenkpaket II"
christmas_pack_gift_desc,"Warme Weihnachtsgeschenke!"
christmas_gift_chatBubble_2,"Weihnachts-Stilpaket II"
christmas_pack_desc,"Erhelle dein Weihnachtsfest!"
store_purchase_title,"89T Shop-Kauf"
camp_avatar_pack_2_2,"Gezeitenlord Skin-Paket I"
camp_emoji_pack_2_2,"Gezeitenlord Skin-Paket II"
camp_avatar_pack_2_1,"Blazeking Skin-Paket I"
camp_emoji_pack_2_1,"Blazeking Skin-Paket II"
vip_desc,"Holen Sie sich jeden Tag 10 ewige Steine."
theme,Themen
source_shop,"Holen Sie es sich im Shop."
resource_2,Ewigkeitsstein
christmas_gift_1,"Weihnachtsgeschenkpaket I"
resource_not_enough_common,"Nicht genug Resourcen"
gem_supply_bubble_desc,"<size=40><color=#037ddc>30-Tage-Basispass</color></size>

1. Bei Kauf erhalten Sie sofort {0} Edelsteine und der Pass wird für 30 Tage aktiviert.

2. Während des Passzeitraums können Sie täglich {1} Edelsteine beanspruchen (wird um UTC 00:00 zurückgesetzt).
Nicht beanspruchte tägliche Edelsteine werden nach Ablauf des Passes nicht zurückerstattet.

<size=40><color=#037ddc>30-Tage-Premium-Pass</color></size>

1. Bei Kauf erhalten Sie sofort {2} Edelsteine und der Pass wird für 30 Tage aktiviert.

2. Während des Passzeitraums können Sie täglich {3} Edelsteine beanspruchen (wird um UTC 00:00 zurückgesetzt).
Nicht beanspruchte tägliche Edelsteine werden nach Ablauf des Passes nicht zurückerstattet."
gf_tab_name_4,Edelsteine
