Key,Content
battle_pre_draw_net_error,"Signal unstable. Reconnecting to battlefield…"
battle_pre_draw_error,"Troops are responding…"
unit_attr_3,"Damage Type"
sort_type_name_2,"Recently Acquired"
card_filter_0_2,Damager
unit_attr_desc_7_7,"Ground and Air"
clear,Clear
unit_attr_1,Attack
card_filter_0_3,Tank
card_filter_4_2,Rare
card_filter_4_4,Legendary
unit_attr_desc_6_1,Single
unlock_with_level_tips,"Unlock with levels"
card_filter_5_2,Ground
card_filter_4_3,Epic
unit_attr_8,"Preferred Target"
unit_attr_2,Health
unit_attr_desc_11_5,Decoration
unit_attr_desc_6_2,Splash
unit_attr_7,"Unit Type Targeted"
filter,Filter
status,Status
finish,Finish
merge,Merge
my_card,Troops
card_filter_5_4,Air
not_obtain,"This unit isn't obtained yet"
moveType,"Type of movement"
quality,Rarity
unit_attr_desc_7_4,Air
upgrade,Upgrade
card_to_collect,Collected
normal,Normal
sort,Sort
unit_attr_4,"Attack Speed"
card_filter_0_1,Warrior
unit_attr_5,"Upgrade Time"
unit_attr_9,Cost
unit_attr_desc_7_3,Ground
unit_attr_10,"Move Speed"
unit_attr_6,"Attack Type"
card_filter_0_4,Assassin
validity,"Validity: {0} days"
gem_supply_advanced_title,"30-Day Advanced Pass"
daily_supply,"Daily Supply"
gem_supply,"Gem Pass"
gem_supply_basic_title,"30-Day Basic Pass"
renew,Renew
claim_daily,"Claim Daily"
subscribe,Subscription
vip_claim,"Claim Daily Rewards"
basic_supply,"Basic Supply"
vip_remain,"VIP is active"
restore,Restore
advanced_supply,"Advanced Supply"
resource_not_enough_201,"Not Enough Gems"
purchase,Purchase
gf_tab_name_5,"Forge Stone"
growth_fund,"Growth Fund"
get_more_army,"Get More Soldiers"
gf_banner_desc_5_format,"Enjoy your exclusive <color=#ffe300><size=42>{0}</size></color> value rebate!"
choice_army_4,"Choose Legendary Soldier"
total_earned,"Total Obtained"
gf_banner_title_4,"Gem Growth Fund"
gf_banner_desc_4_format,"Enjoy your exclusive <color=#ffe300><size=42>{0}</size></color> value rebate!"
gf_shop_banner_desc,"Level up your EXP to claim rich rewards!"
build_your_own_army,"Build your ultimate army!"
troop_choice_pack,"Soldier Choice Pack"
gf_rwd_claim_cond,"Unlock Growth Fund to claim rewards"
choice_army_5,"Choose Mythic Soldier"
skin_store,Cosmetics
vip_subscribe_now,"Subscribe Now"
shop_goods_105,Week
shop_coin,Coins
buy_now,"Buy Now"
store_purchase_content,"Dear Commander,
Your recent purchase in the 89T Store has been completed successfully! 
In this mail, you will find the purchased items.

Thank you for your support! 
Enjoy your rewards, and keep conquering!

- War Inc: Rising"
resource_not_enough_101,"Not Enough Coins"
christmas_gift_chatBubble_1,"Christmas Style Pack I"
immediate_receive,"Get Now"
christmas_gift_2,"Christmas Gift Pack II"
christmas_pack_gift_desc,"Warm Christmas Rewards!"
christmas_gift_chatBubble_2,"Christmas Style Pack II"
christmas_pack_desc,"Light Up Your Christmas!"
store_purchase_title,"89T Store Purchase"
camp_avatar_pack_2_2,"Tide Lord Skin Pack I"
camp_emoji_pack_2_2,"Tide Lord Skin Pack II"
camp_avatar_pack_2_1,"Blazeking Skin Pack I"
camp_emoji_pack_2_1,"Blazeking Skin Pack II"
vip_desc,"Get 10 Eternal Stones every day."
theme,Themes
source_shop,"Get it from the shop."
resource_2,"Eternity Stone"
christmas_gift_1,"Christmas Gift Pack I"
resource_not_enough_common,"Not Enough Resources"
gem_supply_bubble_desc,"<size=40><color=#037ddc>30-Day Basic Pass</color></size>

1.Upon purchase, instantly receive {0} Gems and activate the pass for 30 days.

2.During the pass period, you can claim {1} Gems daily (resets at UTC 00:00).
Unclaimed daily Gems will not be refunded after the pass expires.

<size=40><color=#037ddc>30-Day Advanced Pass</color></size>

1.Upon purchase, instantly receive {2} Gems and activate the pass for 30 days.

2.During the pass period, you can claim {3} Gems daily (resets at UTC 00:00).
Unclaimed daily Gems will not be refunded after the pass expires."
gf_tab_name_4,Gems
camp_pack_desc,"Unlock Exclusive Dragon Skins!"
gf_banner_title_5,"Forge Stone Growth Fund"
refresh_in,"Refresh in"
pack_off,"{0}% Off"
gem_supply_daily_title,"Pass Rewards"
pack_value,"{0}% 
value"
purchased,Purchased
exchange_count_msg,"Please select the quantity of the item you wish to exchange."
vip_claim_desc,"Extra Eternal Stones Daily!"
shop_desc_106,"Subscription period: 1 month.
Free trial: Enjoy a 3-day FREE trial! After the trial ends, you will be charged {0} per month.
Auto-renewal: VIP membership is a recurring monthly subscription. Your account will automatically be charged for the next period unless you cancel at least 24 hours before the current period ends.
Cancel renewal: You can manage and turn off auto-renewal of the subscription by going to your account settings on the Google Play after purchase.

Upon activating this subscription, you will receive:  
1) 10 Eternal Stones every day."
purchase_limit,"Limited Offer"
resource_not_enough_102,"Not Enough Eternity Stones"
shop_desc_105,"Subscription period: 1 week.  
Free trial: Enjoy a 3-day FREE trial! After the trial ends, you will be charged {0} per week.  
Auto-renewal: VIP membership is a recurring weekly subscription. Your account will automatically be charged for the next period unless you cancel at least 24 hours before the current period ends.
Cancel renewal: You can manage and turn off auto-renewal of the subscription by going to your account settings on the Google Play after purchase.

Upon activating this subscription, you will receive:  
1) 10 Eternal Stones every day."
pack_first,"First Purchase Pack"
go,Go
purchase_confirm_desc,"Spend <color=#ffe300>{0}</color> to buy <color=#ffe300>{1}</color>?"
shop_desc_105_ios,"Subscription period: 1 week.  
Free trial: Enjoy a 3-day FREE trial! After the trial ends, you will be charged {0} per week.  
Auto-renewal: VIP membership is a recurring weekly subscription. Your account will automatically be charged for the next period unless you cancel at least 24 hours before the current period ends.
Cancel renewal: You can manage or turn off auto-renewal in your Apple account settings at any time after purchase.

Upon activating this subscription, you will receive:  
1) 10 Eternal Stones every day."
shop_desc_106_ios,"Subscription period: 1 month.
Free trial: Enjoy a 3-day FREE trial! After the trial ends, you will be charged {0} per month.
Auto-renewal: VIP membership is a recurring monthly subscription. Your account will automatically be charged for the next period unless you cancel at least 24 hours before the current period ends.
Cancel renewal: You can manage or turn off auto-renewal in your Apple account settings at any time after purchase.

Upon activating this subscription, you will receive:  
1) 10 Eternal Stones every day."
beginner_bundle_title,"Mythic Troop Pack"
shop_gem,Gems
shop_tab_supply,Offers
shop_goods_106,Month
strategy_name_30,"Outflank VIII"
strategy_name_25,"Split VII"
strategy_name_26,"Rush V"
strategy_name_27,"Rush VI"
strategy_name_28,"Backstab VII"
strategy_name_29,"Outflank VII"
strategy_name_17,"Backstab IV"
strategy_name_18,"Backstab V"
strategy_name_19,"Backstab VI"
strategy_name_21,"Rush II"
strategy_name_23,"Rush III"
strategy_name_24,"Rush IV"
strategy_name_15,"Backstab II"
strategy_name_16,"Backstab III"
strategy_name_12,"Outflank IV"
strategy_name_13,"Outflank V"
strategy_name_14,"Outflank VI"
strategy_name_7,"Split IV"
strategy_name_8,"Split V"
strategy_name_9,"Split VI"
strategy_name_10,"Outflank II"
strategy_name_11,"Outflank III"
strategy_name_5,"Split II"
strategy_name_6,"Split III"
skill_attr_30,Dodge
skill_attr_29,Stacks
skill_attr_28,Health
user_sign_reset_context,"Dear Commander,

Please be advised that your personal Signature has been reset due to a violation of our Game Rules regarding prohibited or sensitive content.

To maintain a healthy and friendly game atmosphere, we ask all players to keep their signatures respectful and appropriate for our global community. Repeated violations may result in further restrictions on your account features.
For more information about our policies and related requests, check <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>

We appreciate your understanding and cooperation.

— War Inc: Rising Support Team"
user_face_reset_context,"Dear Commander,

Our system has identified that your Profile Picture violates our Game Rules and Terms of Service. As a result, your avatar has been reset to the default setting.

We strive to maintain a friendly, respectful, and safe environment for all players. Please ensure that any future uploads comply with our community guidelines. 
For more information about our policies and related requests, check <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>

Thank you for your cooperation in keeping War Inc: Rising a positive experience for everyone.

— War Inc: Rising Support Team"
refine_title_short,
overworld_season_ended_msg,"That’s it for now! See you next time!"
clan_war_slg_reward_info,"In Clan Wars, in addition to personal and clan ranking rewards, there are special rewards that can be assigned by the clan leader.

These rewards represent the honor of the clan, and will be granted to those deemed most worthy.

Rules:

1. Each member can receive up to 1 reward chest.

2. If not assigned in time, rewards will be automatically distributed based on personal ranking.

3. Reward contents depend solely on the clan’s final ranking."
win_add_peakleague_score_msg,"Max score Preview. Final score is based on damage dealt to the defender."
switch_preview_btn,Switch
upgrades_confirm_dialog_msg,"Merge Lv.{0} {1}?"
gameplay_search_result_title,"Search Results"
gameplay_search_title,"Gameplay Search"
upgrades_confirm_dialog_cost_tips,"Spend <color=#ffe300>{0}</color> {1} to upgrade the troop?"
defense_area_desc_1104,"All Defender Troops gain Dodge Chance, Wood RES reduced"
defense_area_desc_1103,"Defender Earth Troop DMG increased, Wind RES reduced"
defense_area_desc_1100,"Defender Warrior ATK increased, Tank All RES increased"
defense_area_desc_1101,"Defender Troop Max HP increased, Fire RES increased"
defense_area_desc_1102,"All Defender Troops gain increased All RES, ATK reduced"
clan_hunt_slg_invalid_army,
clan_hunt_slg_return_main,
clan_hunt_slg_cup_title,
clan_hunt_slg_rule_tips,
clan_hunt_slg_prepare_tips,
clan_hunt_slg_rank_tips,
clan_hunt_slg_reward_title,
clan_hunt_slg_reward_info,
clan_hunt_slg_top_clan_rank_title,
clan_hunt_slg_top_clan_rank_rule_tips,
clan_hunt_slg_boss_rank_rule_tips,
clan_hunt_slg_register_desc,
clan_hunt_slg_register_tips,
clan_hunt_slg_watch_title,
clan_hunt_slg_chat_prefix_5,
clan_hunt_slg_chat_prefix_7,
clan_hunt_slg_watch_not_op,
clan_hunt_slg_watch_players,
clan_hunt_slg_room_name,
clan_hunt_slg_tile_train,
faction_progress_title,
total_score,
clan_hunt_slg_pin_limit,
clan_hunt_slg_end_title,
clan_hunt_slg_no_army,
