Key,Content
battle_pre_draw_net_error,"Señal inestable. Reconectando al campo de batalla…"
battle_pre_draw_error,"Las tropas están respondiendo…"
unit_attr_3,"Tipo de Daño"
sort_type_name_2,"Recientemente adquirido"
card_filter_0_2,Damista
unit_attr_desc_7_7,"Tierra y aire"
clear,Claro
unit_attr_1,Ataque
card_filter_0_3,Tanque
card_filter_4_2,Extraño
card_filter_4_4,Legendario
unit_attr_desc_6_1,Soltero
unlock_with_level_tips,"Desbloquear con niveles"
card_filter_5_2,Suelo
card_filter_4_3,Épico
unit_attr_8,"Objetivo preferido"
unit_attr_2,Salud
unit_attr_desc_11_5,Decorar
unit_attr_desc_6_2,Chapoteo
unit_attr_7,"Tipo de unidad dirigido"
filter,Filtrar
status,Estado
finish,Finalizar
merge,Combinar
my_card,Tropas
card_filter_5_4,Aire
not_obtain,"Esta tropa aún no se ha obtenido"
moveType,"Tipo de movimiento"
quality,Rareza
unit_attr_desc_7_4,Aire
upgrade,Mejora
card_to_collect,Recogido
normal,Normal
sort,Clasificar
unit_attr_4,"Velocidad de ataque"
card_filter_0_1,Guerrero
unit_attr_5,"Tiempo de actualización"
unit_attr_9,Costo
unit_attr_desc_7_3,Suelo
unit_attr_10,"Velocidad de movimiento"
unit_attr_6,"Tipo de ataque"
card_filter_0_4,Asesino
validity,"Validez: {0} días"
gem_supply_advanced_title,"Pase Avanzado de 30 Días"
daily_supply,"Oferta Diaria"
gem_supply,"Pase de Gemas"
gem_supply_basic_title,"Pase Básico de 30 Días"
renew,Renovar
claim_daily,"Reclama diario"
subscribe,Suscripción
vip_claim,"Reclamar recompensas diarias"
basic_supply,"Suministro Básico"
vip_remain,"VIP entra en vigencia"
restore,Restaurar
advanced_supply,"Suministro Avanzado"
resource_not_enough_201,"No hay suficientes gemas"
purchase,Compra
gf_tab_name_5,"Piedra Forjada"
growth_fund,"Fondo de Crecimiento"
get_more_army,"Consigue más soldados"
gf_banner_desc_5_format,"¡Disfruta de tu reembolso exclusivo de valor <color=#ffe300><size=42>{0}</size></color>!"
choice_army_4,"Elige un Soldado Legendario"
total_earned,"Total obtenido"
gf_banner_title_4,"Fondo de Crecimiento de Gemas"
gf_banner_desc_4_format,"¡Disfruta de tu exclusivo reembolso de valor de <color=#ffe300><size=42>{0}</size></color>!"
gf_shop_banner_desc,"¡Sube de nivel tu EXP para obtener grandes recompensas!"
build_your_own_army,"¡Construye tu ejército definitivo!"
troop_choice_pack,"Paquete de Elección de Soldado"
gf_rwd_claim_cond,"Desbloquea el Fondo de Crecimiento para reclamar recompensas"
choice_army_5,"Elige Soldado Mítico"
skin_store,"Productos cosméticos"
vip_subscribe_now,"Suscríbase ahora"
shop_goods_105,Semana
shop_coin,Monedas
buy_now,"Comprar ahora"
store_purchase_content,"Estimado Comandante,

¡Su compra reciente en la Tienda 89T se ha completado con éxito! En este correo, encontrará los artículos comprados.

¡Gracias por su apoyo! Disfrute de sus recompensas y siga conquistando.

- War Inc: Rising"
resource_not_enough_101,"No hay suficientes monedas"
christmas_gift_chatBubble_1,"Paquete de estilo navideño I"
immediate_receive,"Disponible ahora"
christmas_gift_2,"Paquete de regalo de Navidad II"
christmas_pack_gift_desc,"¡Cálidas recompensas navideñas!"
christmas_gift_chatBubble_2,"Paquete de estilo navideño II"
christmas_pack_desc,"¡Ilumina tu Navidad!"
store_purchase_title,"Compra en la tienda 89T"
