Key,Content
battle_pre_draw_net_error,"Signal instable. Reconnexion au champ de bataille…"
battle_pre_draw_error,"Les troupes répondent…"
unit_attr_3,"Type de dégâts"
sort_type_name_2,"Récemment acquis"
card_filter_0_2,Damager
unit_attr_desc_7_7,"Terre et air"
clear,Clair
unit_attr_1,Attaque
card_filter_0_3,Réservoir
card_filter_4_2,Rare
card_filter_4_4,Légendaire
unit_attr_desc_6_1,"Cible unique"
unlock_with_level_tips,"Débloquez avec des niveaux"
card_filter_5_2,Sol
card_filter_4_3,Épique
unit_attr_8,"Cible préférée"
unit_attr_2,Santé
unit_attr_desc_11_5,Décorer
unit_attr_desc_6_2,Éclaboussure
unit_attr_7,"Type d'unité ciblé"
filter,Filtre
status,Statut
finish,Finition
merge,Fusionner
my_card,Troupes
card_filter_5_4,Air
not_obtain,"Cette troupe n'est pas encore obtenue"
moveType,"Type de déplacement"
quality,Rareté
unit_attr_desc_7_4,Air
upgrade,"Mise à niveau"
card_to_collect,Collecté
normal,Normale
sort,Trier
unit_attr_4,"Vitesse d'attaque"
card_filter_0_1,Guerrier
unit_attr_5,"Temps de mise à niveau"
unit_attr_9,Coût
unit_attr_desc_7_3,Sol
unit_attr_10,"Vitesse de déplacement"
unit_attr_6,"Type d'attaque"
card_filter_0_4,Assassin
validity,"Validité : {0} jours"
gem_supply_advanced_title,"Pass avancé de 30 jours"
daily_supply,"Offre du Jour"
gem_supply,"Pass Gem"
gem_supply_basic_title,"Pass de base de 30 jours"
renew,Renouveler
claim_daily,Quotidien
subscribe,Abonnement
vip_claim,"Réclamer des récompenses quotidiennes"
basic_supply,"Approvisionnement de base"
vip_remain,"VIP prend effet"
restore,Restaurer
advanced_supply,"Approvisionnement avancé"
resource_not_enough_201,"Pas assez de gemmes"
purchase,Achat
gf_tab_name_5,"Forge Stone "
growth_fund,"Fonds de Croissance"
get_more_army,"Obtenez plus de soldats"
gf_banner_desc_5_format,"Profitez de votre remise exclusive d'une valeur de <color=#ffe300><size=42>{0}</size></color> !"
choice_army_4,"Choisissez un Soldat Légendaire"
total_earned,"Total obtenu"
gf_banner_title_4,"Fonds de Croissance de Gemmes"
gf_banner_desc_4_format,"Profitez de votre remboursement exclusif d'une valeur de <color=#ffe300><size=42>{0}</size></color> !"
gf_shop_banner_desc,"Augmentez votre EXP pour réclamer de riches récompenses !"
build_your_own_army,"Créez votre armée ultime !"
troop_choice_pack,"Pack Choix du Soldat"
gf_rwd_claim_cond,"Débloquez le Fonds de Croissance pour réclamer vos récompenses"
choice_army_5,"Choisissez un Soldat Mythique"
skin_store,"Produits de beauté"
vip_subscribe_now,"Abonnez-vous maintenant"
shop_goods_105,Semaine
shop_coin,"Pièces de monnaie"
buy_now,Acheter
store_purchase_content,"Cher Commandant,

Votre achat récent dans le 89T Store a été effectué avec succès ! 
Dans ce message, vous trouverez les articles achetés.

Merci pour votre soutien ! 
Profitez de vos récompenses et continuez à conquérir !

- War Inc: Rising"
resource_not_enough_101,"Pas assez de pièces"
christmas_gift_chatBubble_1,"Pack Style Noël I"
immediate_receive,"Disponible maintenant"
christmas_gift_2,"Coffret cadeau de Noël II"
christmas_pack_gift_desc,"Des récompenses chaleureuses pour Noël !"
christmas_gift_chatBubble_2,"Pack Style Noël II"
christmas_pack_desc,"Illuminez votre Noël !"
store_purchase_title,"Achat en magasin 89T"
camp_avatar_pack_2_2,"Pack de skins Seigneur des Marées I"
camp_emoji_pack_2_2,"Pack de skins Seigneur des Marées II"
camp_avatar_pack_2_1,"Pack de skins Blazeking I"
camp_emoji_pack_2_1,"Pack de skins Blazeking II"
vip_desc,"Obtenez 10 pierres éternelles tous les jours."
theme,Thèmes
source_shop,"Obtenez-le à la boutique."
resource_2,"Pierre de l'éternité"
christmas_gift_1,"Coffret cadeau de Noël I"
resource_not_enough_common,"Pas assez de ressources"
