Key,Content
battle_pre_draw_net_error,"Segnale instabile. Riconnessione al campo di battaglia..."
battle_pre_draw_error,"Truppe stanno rispondendo…"
unit_attr_3,"Tipo di Danno"
sort_type_name_2,"Recentemente acquisito"
card_filter_0_2,Damager
unit_attr_desc_7_7,"Terra e aria"
clear,Chiaro
unit_attr_1,attacco
card_filter_0_3,Tank
card_filter_4_2,Raro
card_filter_4_4,Leggendario
unit_attr_desc_6_1,Separare
unlock_with_level_tips,"Sblocca con i livelli"
card_filter_5_2,Terra
card_filter_4_3,Epico
unit_attr_8,"Target preferito"
unit_attr_2,Salute
unit_attr_desc_11_5,Decorare
unit_attr_desc_6_2,Spruzzare
unit_attr_7,"Tipo di unità mirata"
filter,Filtro
status,Stato
finish,Termina
merge,Unisci
my_card,Truppe
card_filter_5_4,Aria
not_obtain,"Questa truppa non è ancora ottenuta"
moveType,"Sposta il tipo"
quality,Rarità
unit_attr_desc_7_4,Aria
upgrade,Aggiornamento
card_to_collect,Raccolto
normal,Normale
sort,Ordinare
unit_attr_4,"Velocità di attacco"
card_filter_0_1,Guerriero
unit_attr_5,"Tempo di aggiornamento"
unit_attr_9,Costo
unit_attr_desc_7_3,Terra
unit_attr_10,"Velocità di movimento"
unit_attr_6,"Tipo di attacco"
card_filter_0_4,Assassino
validity,"Validità: {0} giorni"
gem_supply_advanced_title,"Pass Avanzato di 30 Giorni"
daily_supply,"Offerta di oggi"
gem_supply,"Pass Gemme"
gem_supply_basic_title,"Pass Base di 30 Giorni"
renew,Rinnova
claim_daily,Giornaliero
subscribe,Sottoscrizione
vip_claim,"Richiedi ricompense quotidiane"
basic_supply,"Rifornimento Base"
vip_remain,"VIP ha effetto"
restore,Ristabilire
advanced_supply,"Fornitura avanzata"
resource_not_enough_201,"Non abbastanza gemme"
purchase,Acquistare
gf_tab_name_5,"Pietra Forgia"
growth_fund,"Fondo di Crescita"
get_more_army,"Ottieni più soldati"
gf_banner_desc_5_format,"Goditi il tuo esclusivo <color=#ffe300><size=42>{0}</size></color> rimborso di valore!"
choice_army_4,"Scegli il Soldato Leggendario"
total_earned,"Totale Ottenuto"
gf_banner_title_4,"Fondo per la Crescita delle Gemme"
gf_banner_desc_4_format,"Goditi il tuo esclusivo rimborso del valore di <color=#ffe300><size=42>{0}</size></color>!"
gf_shop_banner_desc,"Migliora la tua ESP per ottenere ricche ricompense!"
build_your_own_army,"Costruisci il tuo esercito definitivo!"
troop_choice_pack,"Pacchetto Scelta Soldato"
