Key,Content
battle_pre_draw_net_error,ネットワーク不安定、戦場へ再接続中…
battle_pre_draw_error,部隊応答中…
unit_attr_3,ダメージタイプ
sort_type_name_2,最近入手
card_filter_0_2,アタッカー
unit_attr_desc_7_7,地上と空中
clear,クリア
unit_attr_1,攻撃
card_filter_0_3,タンク
card_filter_4_2,レア
card_filter_4_4,レジェンダリー
unit_attr_desc_6_1,単体
unlock_with_level_tips,レベルで解放
card_filter_5_2,地面
card_filter_4_3,エピック
unit_attr_8,優先ターゲット
unit_attr_2,HP
unit_attr_desc_11_5,装飾
unit_attr_desc_6_2,範囲
unit_attr_7,攻撃対象
filter,フィルター
status,ステータス
finish,完了
merge,合成
my_card,兵士
card_filter_5_4,飛行
not_obtain,まだ獲得していません
moveType,移動タイプ
quality,レアリティ
unit_attr_desc_7_4,空中
upgrade,アップグレード
card_to_collect,収集済み
normal,ベース
sort,並べ替え
unit_attr_4,攻撃速度
card_filter_0_1,戦士
unit_attr_5,アップグレード時間
unit_attr_9,コスト
unit_attr_desc_7_3,地面
unit_attr_10,移動速度
unit_attr_6,攻撃方法
card_filter_0_4,アサシン
validity,有効期間：{0}日間
gem_supply_advanced_title,30日アドバンス月間パス
daily_supply,デイリー補給
gem_supply,ジェム月間パス
gem_supply_basic_title,30日ベーシック月間パス
renew,更新
claim_daily,毎日受け取り
subscribe,サブスクリプション
vip_claim,デイリー報酬を受け取る
basic_supply,ベーシック補給
vip_remain,VIPが有効
restore,復元
advanced_supply,アドバンス補給
resource_not_enough_201,ジェム不足
purchase,購入
gf_tab_name_5,鍛造石
growth_fund,成長基金
get_more_army,兵士をもっと獲得
gf_banner_desc_5_format,"あなたのための <color=#ffe300><size=42>{0}</size></color> お得なキャッシュバックをお楽しみください！"
choice_army_4,レジェンダリーの兵士を選択
total_earned,累計獲得
gf_banner_title_4,ジェム成長基金
gf_banner_desc_4_format,あなた専用の<color=#ffe300><size=42>{0}</size></color>お得なキャッシュバックをお楽しみください！
gf_shop_banner_desc,経験値を上げて、豪華な報酬を手に入れよう！
build_your_own_army,あなたのスーパーレギオンを築こう！
troop_choice_pack,兵士セレクトパック
gf_rwd_claim_cond,成長基金をアンロックして豊富な報酬を受け取りましょう。
choice_army_5,ミシックの兵士を選択
skin_store,外見アイテム
vip_subscribe_now,今すぐ登録
shop_goods_105,週間
shop_coin,コイン
buy_now,今すぐ購入
store_purchase_content,"指揮官様、

89Tストアでの最近のお買い物が無事に完了しました！
このメールにはご購入いただいたアイテムが記載されています。

ご支援に感謝いたします！
報酬を楽しんで、引き続き征服を進めてください！

- War Inc: Rising"
resource_not_enough_101,コイン不足
christmas_gift_chatBubble_1,"クリスマススタイルパック I"
immediate_receive,今すぐ入手
christmas_gift_2,"クリスマスギフトパック II"
christmas_pack_gift_desc,温かいクリスマスのご褒美！
christmas_gift_chatBubble_2,クリスマススタイルパックII
christmas_pack_desc,クリスマスを明るく彩ろう！
store_purchase_title,89Tストア購入
camp_avatar_pack_2_2,"タイドロード スキンパック I"
camp_emoji_pack_2_2,"タイドロード スキンパック II"
camp_avatar_pack_2_1,"フレイムマスター スキンパック I"
camp_emoji_pack_2_1,"フレイムマスター スキンパック II"
vip_desc,毎日10個のエターナルストーンを受け取ります。
theme,テーマ
source_shop,ショップから入手してください。
resource_2,エターナルストーン
christmas_gift_1,"クリスマスギフトパック I"
resource_not_enough_common,リソース不足
gem_supply_bubble_desc,"<size=40><color=#037ddc>30日ベーシック月間パス</color></size>

1. 毎回30日ベーシック月間パスを購入する度に、{0}ジェムと30日間のパス有効期間が即座に受け取れます。

2. パスの有効期間中、毎日{1}ジェムを受け取れます（毎日UTC 00:00リセット）。パスの有効期間中に受け取らなかったジェムは返還されません。

<size=40><color=#037ddc>30日アドバンス月間パス</color></size>

1. 毎回30日アドバンス月間パスを購入する度に、{2}ジェムと30日間のパス有効期間が即座に受け取れます。

2. パスの有効期間中、毎日{3}ジェムを受け取れます（毎日UTC 00:00リセット）。パスの有効期間中に受け取らなかったジェムは返還されません。"
gf_tab_name_4,ジェム
camp_pack_desc,限定ドラゴンスキンをアンロックしましょう！
gf_banner_title_5,鍛造石成長ファンド
refresh_in,更新まで
pack_off,{0}％割引
gem_supply_daily_title,月パス特典
pack_value,"{0}％
お得"
purchased,購入済み
exchange_count_msg,交換するアイテムの数量を選択してください。
vip_claim_desc,毎日追加のエターナルストーンを獲得できます！
shop_desc_106,"サブスクリプション期間：1か月。
無料トライアル：3日間の無料トライアルをお楽しみください！トライアル終了後、月額{0}が課金されます。
自動更新：VIP会員は毎月自動更新されるサブスクリプションサービスです。現在の期間終了の24時間前までにキャンセルしない限り、次回分が自動的に課金されます。
更新のキャンセル：購入後、Google Playのアカウント設定から定期購読の自動更新を管理・停止できます。

本サブスクリプションを有効化すると、以下を受け取れます：
1) 毎日10個のエターナルストーン"
purchase_limit,期間限定オファー
resource_not_enough_102,エターナルストーン不足
shop_desc_105,"サブスクリプション期間：1週間。
無料トライアル：3日間の無料トライアルをお楽しみください！トライアル終了後、月額{0}が課金されます。
自動更新：VIP会員は毎週自動更新されるサブスクリプションサービスです。現在の期間終了の24時間前までにキャンセルしない限り、次回分が自動的に課金されます。
更新のキャンセル：購入後、Google Playのアカウント設定から定期購読の自動更新を管理・停止できます。

本サブスクリプションを有効化すると、以下を受け取れます：
1) 毎日10個のエターナルストーン"
pack_first,初回購入パック
go,進む
purchase_confirm_desc,<color=#ffe300>{0}</color>を使って<color=#ffe300>{1}</color>を購入しますか？
shop_desc_105_ios,"サブスクリプション期間：1週間。
無料トライアル：3日間の無料トライアルをご利用いただけます！トライアル終了後、毎週{0}が課金されます。
自動更新：VIP会員は毎週自動更新されるサブスクリプションサービスです。現在の期間終了の24時間前までにキャンセルしない場合、アカウントは自動的に次の期間の料金が課金されます。
自動更新のキャンセル：購入後、Appleアカウント設定でいつでも自動更新を管理またはオフにできます。

このサブスクリプションを有効化すると、以下を受け取れます：
1) 毎日10個のエターナルストーン"
shop_desc_106_ios,"サブスクリプション期間：1か月。
無料トライアル：3日間の無料トライアルをお楽しみください！トライアル終了後、月額{0}が課金されます。
自動更新：VIP会員は毎月自動更新されるサブスクリプションサービスです。現在の期間終了の24時間前までにキャンセルしない限り、次回分が自動的に課金されます。
更新のキャンセル：購入後いつでもAppleアカウント設定で自動更新の管理・停止が可能です。

本サブスクリプションを有効化すると、以下を受け取れます：
1) 毎日10個のエターナルストーン"
beginner_bundle_title,ミシック兵士パック
shop_gem,ジェム
shop_tab_supply,オファー
shop_goods_106,月
strategy_name_30,"側方包囲 VIII"
strategy_name_25,"二軍分進 VII"
strategy_name_26,"突進 V"
strategy_name_27,"突進 VI"
strategy_name_28,"後方奇襲 VII"
strategy_name_29,"側方包囲 VII"
strategy_name_17,"後方奇襲 IV"
strategy_name_18,"後方奇襲 V"
strategy_name_19,"後方奇襲 VI"
strategy_name_21,"突進 II"
strategy_name_23,"突進 III"
strategy_name_24,"突進 IV"
strategy_name_15,"後方奇襲 II"
strategy_name_16,"後方奇襲 III"
strategy_name_12,"側方包囲 IV"
strategy_name_13,"側方包囲 V"
strategy_name_14,"側方包囲 VI"
strategy_name_7,"二軍分進 IV"
strategy_name_8,"二軍分進 V"
strategy_name_9,"二軍分進 VI"
strategy_name_10,"側方包囲 II"
strategy_name_11,"側方包囲 III"
strategy_name_5,"二軍分進 II"
strategy_name_6,"二軍分進 III"
skill_attr_30,回避率
skill_attr_29,スタック数
skill_attr_28,HP
user_sign_reset_context,"指揮官殿、

お客様の個人的なシグネチャーは、禁止または不適切なコンテンツに関するゲームルールに違反したため、リセットされましたことをお知らせいたします。

健全で友好的なゲーム環境を維持するため、全てのプレイヤーの皆様には、グローバルコミュニティにふさわしい、敬意を持ったシグネチャーを設定していただくようお願い申し上げます。繰り返しの違反は、アカウント機能へのさらなる制限につながる可能性があります。
当社のポリシーおよび関連する要請に関する詳細については、こちらをご確認ください：<color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>

ご理解とご協力をお願いいたします。

— War Inc: Rising サポートチーム"
user_face_reset_context,"司令官様、

当社のシステムにより、お客様のプロフィール画像がゲームルールおよび利用規約に違反していることが確認されました。その結果、お客様のアバターは初期設定にリセットされました。

当社は、すべてのプレイヤーにとって親しみやすく、敬意を払い、安全な環境を維持するよう努めております。今後のアップロードが当社のコミュニティガイドラインに準拠していることをご確認ください。
当社のポリシーおよび関連する要件に関する詳細については、<color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>をご確認ください。

War Inc: Risingが皆様にとって良い体験であり続けるためのご協力に感謝いたします。

— War Inc: Rising サポートチーム"
refine_title_short,
overworld_season_ended_msg,仕事終了！次回もお楽しみに！
clan_war_slg_reward_info,"クラン戦では、個人ランキング報酬とクランランキング報酬の他に、クランリーダーが分配する一部の特殊報酬が存在します。

これらの報酬はクランの栄誉を象徴しており、クランリーダーによって最も相応しい者に授与されます。

ルール説明：

1. 各メンバーは最大1つの宝箱報酬しか獲得できません。

2. クランリーダーが規定時間内に分配を完了しなかった場合、システムは個人ランキングに基づいて自動的に分配します。

3. 報酬内容はクランの最終ランキングのみに関連します。"
win_add_peakleague_score_msg,最大スコアプレビュー、最終スコアは防御側に与えたダメージに応じて決定されます。
switch_preview_btn,切替
upgrades_confirm_dialog_msg,Lv.{0}{1}を合成しますか？
gameplay_search_result_title,検索結果
gameplay_search_title,遊び方検索
upgrades_confirm_dialog_cost_tips,<color=#ffe300>{0}</color>{1}を消費して部隊をアップグレードしますか？
defense_area_desc_1104,守備側の全ての部隊は確率回避を獲得し、木ステータス耐性が低下する
defense_area_desc_1103,防御側の土ステータス部隊の与ダメージが上昇し、風ステータス耐性が低下する
defense_area_desc_1100,防御側戦士攻撃力上昇、タンク全耐性上昇
defense_area_desc_1101,守備側全ての部隊の最大HPが上昇し、火ステータス耐性が上昇
defense_area_desc_1102,防衛側の全部隊の全耐性が増加し、攻撃力が減少する
clan_hunt_slg_invalid_army,
clan_hunt_slg_return_main,
clan_hunt_slg_cup_title,
clan_hunt_slg_rule_tips,
clan_hunt_slg_prepare_tips,
clan_hunt_slg_rank_tips,
clan_hunt_slg_reward_title,
clan_hunt_slg_reward_info,
clan_hunt_slg_top_clan_rank_title,
clan_hunt_slg_top_clan_rank_rule_tips,
clan_hunt_slg_boss_rank_rule_tips,
clan_hunt_slg_register_desc,
clan_hunt_slg_register_tips,
clan_hunt_slg_watch_title,
clan_hunt_slg_chat_prefix_5,
clan_hunt_slg_chat_prefix_7,
clan_hunt_slg_watch_not_op,
clan_hunt_slg_watch_players,
clan_hunt_slg_room_name,
clan_hunt_slg_tile_train,
faction_progress_title,
total_score,
clan_hunt_slg_pin_limit,
clan_hunt_slg_end_title,
clan_hunt_slg_no_army,
