Key,Content
battle_pre_draw_net_error,"신호 불안정. 전장으로 다시 연결 중…"
battle_pre_draw_error,"병사들이 응답 중입니다…"
unit_attr_3,"피해 유형"
sort_type_name_2,"최근 획득"
card_filter_0_2,딜러
unit_attr_desc_7_7,"땅과 공기"
clear,분명한
unit_attr_1,공격
card_filter_0_3,탱커
card_filter_4_2,희귀
card_filter_4_4,전설
unit_attr_desc_6_1,하나의
unlock_with_level_tips,"레벨로 잠금 해제"
card_filter_5_2,지상
card_filter_4_3,에픽
unit_attr_8,"선호하는 대상"
unit_attr_2,건강
unit_attr_desc_11_5,장식
unit_attr_desc_6_2,튀김
unit_attr_7,"대상 단위 유형"
filter,필터
status,상태
finish,마치다
merge,병합
my_card,군대
card_filter_5_4,공중
not_obtain,"이 부대는 아직 얻지 못했습니다"
moveType,"이동 유형"
quality,희박
unit_attr_desc_7_4,공기
upgrade,업그레이드
card_to_collect,"수집 완료"
normal,정상
sort,종류
unit_attr_4,"공격 속도"
card_filter_0_1,전사
unit_attr_5,"업그레이드 시간"
unit_attr_9,비용
unit_attr_desc_7_3,지면
unit_attr_10,"이동 속도"
unit_attr_6,"공격 유형"
card_filter_0_4,암살자
validity,"유효 기간: {0}일"
gem_supply_advanced_title,"30일 고급 패스"
daily_supply,"일일 보급품"
gem_supply,"젬 패스"
gem_supply_basic_title,"30일 기본 패스"
renew,업데이트
claim_daily,"일일 보상 받기"
subscribe,구독
vip_claim,"매일 보상을 청구하십시오"
basic_supply,"기본 보급"
vip_remain,"VIP 활성화"
restore,복원하다
advanced_supply,"고급 보급품"
resource_not_enough_201,"보석이 충분하지 않습니다"
purchase,구입
gf_tab_name_5,단조석
growth_fund,"성장 기금"
get_more_army,"병력을 더 많이 얻으세요"
gf_banner_desc_5_format,"당신만의 독점 <color=#ffe300><size=42>{0}</size></color> 가치 리베이트를 즐기세요!"
choice_army_4,"전설적인 병사를 선택하세요"
total_earned,"총 획득량"
gf_banner_title_4,"젬 성장 기금"
gf_banner_desc_4_format,"단독 <color=#ffe300><size=42>{0}</size></color> 가치 리베이트를 즐기세요!"
gf_shop_banner_desc,"경험치를 올려 풍성한 보상을 받으세요!"
build_your_own_army,"최강의 군대를 구축하세요!"
