Key,Content
battle_pre_draw_net_error,"Sinal instável. A reconectar ao campo de batalha…"
battle_pre_draw_error,"As tropas estão a responder…"
unit_attr_3,"Tipo de Dano"
sort_type_name_2,"Adquirido recentemente"
card_filter_0_2,Damager
unit_attr_desc_7_7,"Terra e ar"
clear,Claro
unit_attr_1,Ataque
card_filter_0_3,Tanque
card_filter_4_2,Cru
card_filter_4_4,Lendário
unit_attr_desc_6_1,Solteiro
unlock_with_level_tips,"Desbloquear com níveis"
card_filter_5_2,Chão
card_filter_4_3,Épico
unit_attr_8,"Alvo preferido"
unit_attr_2,Saúde
unit_attr_desc_11_5,Decorar
unit_attr_desc_6_2,Respingo
unit_attr_7,"Tipo de unidade direcionado"
filter,Filtro
status,Status
finish,Terminar
merge,Fundir
my_card,Tropas
card_filter_5_4,Ar
not_obtain,"Esta tropa ainda não foi obtida"
moveType,"Tipo de movimentação"
quality,Raridade
unit_attr_desc_7_4,Ar
upgrade,Atualizar
card_to_collect,Coletado
normal,Normal
sort,Organizar
unit_attr_4,"Velocidade de ataque"
card_filter_0_1,Guerreiro
unit_attr_5,"Hora de atualização"
unit_attr_9,Custo
unit_attr_desc_7_3,Chão
unit_attr_10,"Velocidade de movimento"
unit_attr_6,"Tipo de ataque"
card_filter_0_4,Assassino
validity,"Validade: {0} dias"
gem_supply_advanced_title,"Passe Avançado de 30 Dias"
daily_supply,"Suprimento Diário"
gem_supply,"Passe de Gemas"
gem_supply_basic_title,"Passe Básico de 30 Dias"
renew,Renovar
claim_daily,"Reivindicar Diário"
subscribe,Inscrição
vip_claim,"Reivindicar recompensas diárias"
basic_supply,"Suprimento Básico"
vip_remain,"VIP entra em vigor"
restore,Restaurar
advanced_supply,"Fornecimento Avançado"
resource_not_enough_201,"Gemas não suficientes"
purchase,Comprar
gf_tab_name_5,"Pedra de Forja"
growth_fund,"Fundo de Crescimento"
get_more_army,"Obtenha Mais Soldados"
gf_banner_desc_5_format,"Aproveite o seu exclusivo reembolso de valor <color=#ffe300><size=42>{0}</size></color>!"
choice_army_4,"Escolha o Soldado Lendário"
total_earned,"Total Obtido"
gf_banner_title_4,"Fundo de Crescimento de Gemas"
gf_banner_desc_4_format,"Aproveite o seu exclusivo reembolso de valor de <color=#ffe300><size=42>{0}</size></color>!"
gf_shop_banner_desc,"Aumente a sua EXP para reivindicar recompensas valiosas!"
build_your_own_army,"Constrói o teu exército definitivo!"
troop_choice_pack,"Pacote de Escolha do Soldado"
gf_rwd_claim_cond,"Desbloquear Fundo de Crescimento para receber recompensas"
choice_army_5,"Escolha o Soldado Mítico"
skin_store,Cosméticos
vip_subscribe_now,"Inscreva-se agora"
shop_goods_105,Semana
shop_coin,Moedas
buy_now,"Comprar agora"
store_purchase_content,"Caro Comandante,

A sua recente compra na 89T Store foi concluída com sucesso! Neste email, encontrará os itens comprados.

Obrigado pelo seu apoio! Aproveite as suas recompensas e continue a conquistar!

- War Inc: Rising"
resource_not_enough_101,"Moedas não suficientes"
christmas_gift_chatBubble_1,"Pacote de Natal Estilo I"
immediate_receive,"Disponível Agora"
christmas_gift_2,"Pacote de Presente de Natal II"
christmas_pack_gift_desc,"Recompensas natalinas aconchegantes!"
christmas_gift_chatBubble_2,"Pacote de Natal Estilo II"
christmas_pack_desc,"Ilumine o seu Natal!"
store_purchase_title,"89T Compra na Loja"
camp_avatar_pack_2_2,"Pacote de Skins I"
camp_emoji_pack_2_2,"Pacote de Skins II Senhor da Maré"
camp_avatar_pack_2_1,"Pacote de Skins I"
camp_emoji_pack_2_1,"Pacote de Skins II Blazeking"
vip_desc,"Obtenha 10 pedras eternas todos os dias."
theme,Temas
source_shop,"Compre na loja."
resource_2,"Pedra da eternidade"
christmas_gift_1,"Pacote de Presente de Natal I"
resource_not_enough_common,"Não há recursos suficientes"
gem_supply_bubble_desc,"<size=40><color=#037ddc>Passe Básico de 30 Dias</color></size>

1.Ao comprar, você recebe instantaneamente {0} Gemas e ativa o passe por 30 dias.

2.Durante o período do passe, você pode reivindicar {1} Gemas diariamente (reinicia às 00:00 UTC).
As Gemas diárias não reivindicadas não serão reembolsadas após o vencimento do passe.

<size=40><color=#037ddc>Passe Avançado de 30 Dias</color></size>

1.Ao comprar, você recebe instantaneamente {2} Gemas e ativa o passe por 30 dias.

2.Durante o período do passe, você pode reivindicar {3} Gemas diariamente (reinicia às 00:00 UTC).
As Gemas diárias não reivindicadas não serão reembolsadas após o vencimento do passe."
gf_tab_name_4,Gemas
camp_pack_desc,"Desbloqueie skins de dragão exclusivas!"
gf_banner_title_5,"Fundo de Crescimento de Pedras de Forja"
refresh_in,Atualizar
pack_off,"{0}% de desconto"
gem_supply_daily_title,"Recompensas do Passe"
pack_value,"{0}%
valor"
purchased,Comprado
exchange_count_msg,"Selecione a quantidade do item que você deseja trocar."
vip_claim_desc,"Pedras eternas extras diariamente!"
shop_desc_106,"Período de subscrição: 1 mês.
Teste gratuito: Aproveite um teste GRATUITO de 3 dias! Após o término do teste, será cobrado {0} por mês.
Renovação automática: A assinatura VIP é uma subscrição mensal recorrente. Sua conta será automaticamente cobrada pelo próximo período, a menos que você cancele pelo menos 24 horas antes do término do período atual.
Cancelar renovação: Você pode gerenciar e desativar a renovação automática da subscrição acessando as configurações da sua conta no Google Play após a compra.

Ao ativar esta subscrição, você receberá:  
1) 10 Pedras Eternas todos os dias."
purchase_limit,"Oferta limitada"
resource_not_enough_102,"Pedras de eternidade insuficientes"
shop_desc_105,"Período de subscrição: 1 semana.  
Teste gratuito: Desfrute de um teste GRATUITO de 3 dias! Após o término do teste, será cobrado {0} por semana.  
Renovação automática: A adesão VIP é uma subscrição semanal recorrente. A sua conta será automaticamente cobrada para o próximo período, a menos que cancele pelo menos 24 horas antes do fim do período atual.
Cancelar renovação: Pode gerir e desativar a renovação automática da subscrição acedendo às definições da sua conta no Google Play após a compra.

Ao ativar esta subscrição, receberá:  
1) 10 Pedras Eternas todos os dias."
pack_first,"Primeiro pacote de compra"
go,Ir
purchase_confirm_desc,"Deseja gastar <color=#ffe300>{0}</color> para comprar <color=#ffe300>{1}</color>?"
shop_desc_105_ios,"Período de subscrição: 1 semana.  
Teste gratuito: Aproveite um teste GRATUITO de 3 dias! Após o fim do teste, será cobrado {0} por semana.  
Renovação automática: A adesão VIP é uma subscrição semanal recorrente. A sua conta será automaticamente cobrada para o próximo período, a menos que cancele pelo menos 24 horas antes do fim do período atual.
Cancelar renovação: Pode gerir ou desativar a renovação automática nas suas definições de conta Apple a qualquer momento após a compra.

Ao ativar esta subscrição, irá receber:  
1) 10 Pedras Eternas todos os dias."
shop_desc_106_ios,"Período de subscrição: 1 mês.
Avaliação gratuita: Desfrute de uma avaliação GRATUITA de 3 dias! Após o término da avaliação, será cobrado {0} por mês.
Renovação automática: A assinatura VIP é uma subscrição mensal recorrente. A sua conta será automaticamente cobrada para o próximo período, a menos que cancele pelo menos 24 horas antes do final do período atual.
Cancelar renovação: Pode gerir ou desativar a renovação automática nas configurações da sua conta Apple a qualquer momento após a compra.

Ao ativar esta subscrição, receberá:
1) 10 Pedras Eternas todos os dias."
beginner_bundle_title,"Pacote de Soldado Mítico"
shop_gem,Gems
shop_tab_supply,Ofertas
shop_goods_106,Mês
strategy_name_30,"Flanquear VIII"
strategy_name_25,"Dividir VII"
strategy_name_26,"Corrida V"
strategy_name_27,"Corrida VI"
strategy_name_28,"Retaguarda VII"
strategy_name_29,"Flanquear VII"
strategy_name_17,"Retaguarda IV"
strategy_name_18,"Retaguarda V"
strategy_name_19,"Retaguarda VI"
strategy_name_21,"Corrida II"
strategy_name_23,"Corrida III"
strategy_name_24,"Corrida IV"
strategy_name_15,"Retaguarda II"
strategy_name_16,"Retaguarda III"
strategy_name_12,"Flanquear IV"
strategy_name_13,"Flanquear V"
strategy_name_14,"Flanquear VI"
strategy_name_7,"Dividir IV"
strategy_name_8,"Dividir V"
strategy_name_9,"Dividir VI"
strategy_name_10,"Flanquear II"
strategy_name_11,"Flanquear III"
strategy_name_5,"Dividir II"
strategy_name_6,"Dividir III"
skill_attr_30,Esquiva
skill_attr_29,Pilhas
skill_attr_28,Vida
user_sign_reset_context,"Estimado Comandante,

Informamos que a sua Assinatura pessoal foi reposta devido a uma violação das nossas Regras do Jogo, relativas a conteúdo proibido ou sensível.

Para manter um ambiente de jogo saudável e amigável, pedimos a todos os jogadores que mantenham as suas assinaturas respeitosas e adequadas para a nossa comunidade global. Violações repetidas poderão resultar em restrições adicionais às funcionalidades da sua conta.
Para mais informações sobre as nossas políticas e pedidos relacionados, consulte <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>

Agradecemos a sua compreensão e cooperação.

— Equipa de Suporte do War Inc: Rising"
user_face_reset_context,"Prezado Comandante,

O nosso sistema identificou que a sua Imagem de Perfil viola as nossas Regras de Jogo e Termos de Serviço. Como resultado, o seu Avatar foi reposto para a definição padrão.

Esforçamo-nos para manter um ambiente amigável, respeitoso e seguro para todos os jogadores. Por favor, certifique-se de que quaisquer uploads futuros estejam em conformidade com as nossas diretrizes da comunidade.
Para mais informações sobre as nossas políticas e pedidos relacionados, consulte <color=#0000FF><link=https://war-inc-rising-chat-rules.webflow.io/>https://war-inc-rising-chat-rules.webflow.io/</link></color>

Agradecemos a sua colaboração para manter War Inc: Rising uma experiência positiva para todos.

— Equipa de Suporte de War Inc: Rising"
refine_title_short,
overworld_season_ended_msg,"Por agora é tudo! Até à próxima!"
clan_war_slg_reward_info,"Nas Guerras de Clãs, para além das recompensas de ranking pessoal e do clã, existem recompensas especiais que podem ser atribuídas pelo Líder do clã.

Estas recompensas representam a honra do clã e serão concedidas aos considerados mais merecedores.

Regras:

1. Cada Membro pode receber até 1 baú de recompensa.

2. Se não forem atribuídas a tempo, as recompensas serão distribuídas automaticamente com base no ranking pessoal.

3. O conteúdo das recompensas depende exclusivamente do ranking final do clã."
win_add_peakleague_score_msg,"Pré-visualização da pontuação máxima. A pontuação final é baseada no dano causado ao defensor."
switch_preview_btn,Trocar
upgrades_confirm_dialog_msg,"Fundir Nv.{0} {1}?"
gameplay_search_result_title,"Resultados da Pesquisa"
gameplay_search_title,"Pesquisa de Jogabilidade"
upgrades_confirm_dialog_cost_tips,"Gastar <color=#ffe300>{0}</color> {1} para melhorar a Tropa?"
defense_area_desc_1104,"Todas as Tropas Defensoras ganham Chance de Esquiva, Resistência à Madeira reduzida"
defense_area_desc_1103,"Dano da Tropa da Terra do Defensor aumentado, Resistência a Vento reduzida"
defense_area_desc_1100,"Defensor Guerreiro ATQ aumentado, Tanque Todas as RES aumentadas"
defense_area_desc_1101,"PV Máx. da Tropa Defensora aumentado, Resistência a Fogo aumentada"
defense_area_desc_1102,"Todas as Tropas Defensoras ganham Toda a RES, ATQ reduzido."
clan_hunt_slg_invalid_army,
clan_hunt_slg_return_main,
clan_hunt_slg_cup_title,
clan_hunt_slg_rule_tips,
clan_hunt_slg_prepare_tips,
clan_hunt_slg_rank_tips,
clan_hunt_slg_reward_title,
clan_hunt_slg_reward_info,
clan_hunt_slg_top_clan_rank_title,
clan_hunt_slg_top_clan_rank_rule_tips,
clan_hunt_slg_boss_rank_rule_tips,
clan_hunt_slg_register_desc,
clan_hunt_slg_register_tips,
clan_hunt_slg_watch_title,
clan_hunt_slg_chat_prefix_5,
clan_hunt_slg_chat_prefix_7,
clan_hunt_slg_watch_not_op,
clan_hunt_slg_watch_players,
clan_hunt_slg_room_name,
clan_hunt_slg_tile_train,
faction_progress_title,
total_score,
clan_hunt_slg_pin_limit,
clan_hunt_slg_end_title,
clan_hunt_slg_no_army,
peak_league_rule_desc,"Bem-vindo à Liga do Pico!

Comandantes que atingirem <color=#EC6D26>altas classificações na Arena</color> qualificar-se-ão para a Liga do Pico.

  A Liga do Pico abre juntamente com a <color=#EC6D26>Temporada da Arena</color>.
  Os primeiros 7 dias da temporada são a <color=#EC6D26>Fase de Inscrição</color>. Jogadores qualificados serão <color=#EC6D26>automaticamente inscritos</color>, e podem cancelar a inscrição a qualquer momento.
  Os últimos 7 dias são a <color=#EC6D26>Fase de Batalha</color>. Desafia outros comandantes e compete por mais Coroas!

Regras de Ataque:
  1. Comandantes na liga recebem <color=#EC6D26>8 tentativas de desafio</color> por dia.
  2. Por favor, confirma a tua formação antes do emparelhamento. Soldados <color=#EC6D26>não podem ser alterados</color> depois de um combate ser encontrado.
  3. Após o emparelhamento ser bem-sucedido, a batalha deve começar dentro de <color=#EC6D26>180s</color>. Não conseguir iniciar ou sair a meio da batalha conta como uma derrota.
  4. Derrotas não concedem <color=#EC6D26>nenhum</color> ponto e não deduzem <color=#EC6D26>nenhum</color> ponto.
  5. Os pontos de batalha são calculados com base na tua <color=#EC6D26>Taxa de Destruição</color>. Taxas de Destruição mais altas rendem mais pontos!

Regras de Defesa:
  1. Os defensores devem configurar 3 formações defensivas para guardar <color=#EC6D26>3 zonas de defesa</color>.
  2. Cada zona de defesa tem um <color=#EC6D26>efeito único</color> que só se aplica aos defensores.
  3. Os atacantes <color=#EC6D26>encontrarão aleatoriamente</color> 1 das 3 formações defensivas durante o emparelhamento."
league_sign_up_cancel_registration_desc,"[color=#EC6D26]Cancelar inscrição[/color]? Pode registar-se novamente antes do início da partida."
emoji_name_1027,"Tirano Bárbaro: Uma Garra!"
notification_title_9,"Menção ao Clã"
emoji_name_1028,"Tecelã de Melodias: Solte a batida!"
emoji_name_1029,"Vanguarda de Poder de Fogo: Alvo travado!"
emoji_name_1030,"Cavaleiro Grifo: Chegando rapidinho!"
emoji_name_1031,"Feiticeiro do Ripple: Na Zona!"
unit_skill_name_1617_1_tag,8s
emoji_name_1032,"Rainha Darkmoon: Em destaque!"
light_dark_pack_title_2,"Pacote para pele clara"
light_dark_pack_title_4,"Pacote para Pele Escura"
light_dark_pack_desc_2,"Revestido de luz, afaste a escuridão!"
light_dark_pack_desc_4,"A noite cai — devore a luz!"
rank_index_4,4th
team_err_620,"A equipa está completa"
battle_strategy_title,Táticas
emoji_name_1006,"Duelista de Chamas: Afaste-se!"
emoji_name_1009,"Deusa da Guerra: Imperdoável!"
camp_season_faction_left_2,"Buscador de Luz"
emoji_name_1010,"Deusa da Guerra: Adorando!"
camp_season_faction_right_2,Necromante
emoji_name_1011,"Deusa da Guerra: Por aqui!"
chatBubble_frame_name_18,"Borda clara"
chatBubble_frame_name_19,"Invasão Necro"
emoji_name_1025,"Geomante: Vitória garantida!"
emoji_name_1026,"Arqueiro da Névoa: Alcance confirmado!"
unit_skill_name_1603_1_tag,8s
task_context_250001,"Inicie sessão durante <color=#EC6D26>{0}</color> dias"
unit_skin_name_73401,"Raposa de Nove Caudas"
unit_skin_name_73601,"Tecelã de Melodias"
unit_skin_name_73801,"Feiticeiro do Ripple"
unit_skin_name_73501,"Guardião da Floresta"
unit_skill_name_1604_1_tag,5s
unit_skill_name_1601_1_tag,5s
unit_skill_name_1602_1_tag,8s
unit_skin_name_73901,"Artilheiro Furioso"
unit_skill_name_1605_1_tag,8s
unit_skin_name_74001,"Vanguarda de Poder de Fogo"
unit_skill_name_1606_1_tag,5s
unit_skill_name_1607_1_tag,5s
unit_skill_name_1608_1_tag,5s
unit_skin_name_74101,"Arqueiro da Névoa"
overworld_tile_level_3,Lv.3
unit_skill_name_1609_1_tag,5s
unit_skill_name_1610_1_tag,8s
unit_skin_name_74201,"Guardião da Selva"
unit_skin_name_74301,"Tirano Bárbaro"
unit_skin_name_74401,"Duelista de Chamas"
unit_skin_name_74501,"Nobre Noturno"
unit_skin_name_74601,"Deusa da Guerra"
unit_skin_name_74801,"Assassino de Venospore"
unit_skin_name_74901,"O Rei Cavaleiro"
unit_skin_name_76201,"Guerreiro Radiante"
unit_skin_name_77801,Serafim
unit_skin_name_84501,"Senhor da Maré"
unit_skin_name_84601,Blazeking
rank_index_1,1st
unit_skin_name_84701,"Lâmina Vermelha"
rank_index_2,2nd
rank_index_3,3rd
task_context_210008,"Atualiza os edifícios <color=#EC6D26>{0}</color> vezes"
task_context_210009,"Ganhe 3 estrelas na Aventura <color=#EC6D26>{0}</color> vezes"
unit_skin_name_63701,"Cavaleiro Grifo"
task_context_210010,"Receba <color=#EC6D26>{0}</color> Gemas ao construir"
unit_skin_name_63801,Geomante
task_context_210011,"Receba <color=#EC6D26>{0}</color> Moedas ao construir"
unit_skin_name_70301,"Rainha do Gelo"
task_context_210012,"Receba <color=#EC6D26>{0}</color> Madeira ao construir"
unit_skin_name_70401,"Donzela da Tempestade"
unit_skin_name_70501,"Senhor das Asas de Fogo"
unit_skin_name_71201,"A Lâmina da Terra"
unit_skin_name_71101,"Atirador de Ossos"
unit_skin_name_70601,"Apóstolo da Luz das Estrelas"
unit_skin_name_70801,"Rainha Darkmoon"
unit_sort_attr_31,Classe
unit_sort_attr_37,Qualidade
task_context_240010,"Receba <color=#EC6D26>{0}</color> Gemas ao construir"
task_context_240011,"Receba <color=#EC6D26>{0}</color> Moedas ao construir"
task_context_240012,"Receba <color=#EC6D26>{0}</color> Madeira ao construir"
task_context_100012,"Melhore <color=#EC6D26>{0}</color>  tropas lendárias até o <color=#EC6D26>Lv6</color>"
chat_font_setting_title,"Tamanho da Fonte do Chat"
task_context_210001,"Inicie sessão durante <color=#EC6D26>{0}</color> dias"
overworld_tile_level_1,Lv.1
task_context_250002,"Abra <color=#EC6D26>{0}</color> Baús de Saque"
task_context_210002,"Melhore tropas míticas <color=#EC6D26>{0}</color>  vezes"
overworld_tile_level_2,Lv.2
application_place_holder,"Digite uma mensagem"
task_context_250003,"Obter qualquer tropa <color=#EC6D26>{0}</color> vezes"
overworld_tile_level_4,Lv.4
