Key,Content
battle_pre_draw_net_error,"Сигнал нестабилен. Переподключение к полю боя…"
battle_pre_draw_error,"Солдаты реагируют…"
unit_attr_3,"Тип Урона"
sort_type_name_2,"Недавно приобретен"
card_filter_0_2,Потерпевший
unit_attr_desc_7_7,"Земля и воздух"
clear,Прозрачный
unit_attr_1,Атака
card_filter_0_3,Танк
card_filter_4_2,Редкий
card_filter_4_4,Легендарный
unit_attr_desc_6_1,Одинокий
unlock_with_level_tips,"Разблокировка с уровнями"
card_filter_5_2,Земля
card_filter_4_3,Эпический
unit_attr_8,"Предпочтительная цель"
unit_attr_2,Здоровье
unit_attr_desc_11_5,Украсить
unit_attr_desc_6_2,Всплеск
unit_attr_7,"Тип блока целевой"
filter,Фильтр
status,"Положение дел"
finish,Заканчивать
merge,Слияние
my_card,Войска
card_filter_5_4,Воздух
not_obtain,"Этот отряд еще не получен"
moveType,"Перемещать тип"
quality,Редкость
unit_attr_desc_7_4,Воздух
upgrade,Улучшить
card_to_collect,Собрано
normal,Нормальный
sort,Сортировать
unit_attr_4,"Скорость атаки"
card_filter_0_1,Воин
unit_attr_5,"Время обновления"
unit_attr_9,Расходы
unit_attr_desc_7_3,Земля
unit_attr_10,"Скорость движения"
unit_attr_6,"Тип атаки"
card_filter_0_4,Убийца
validity,"Срок действия: {0} дней"
gem_supply_advanced_title,"30-дневный продвинутый пропуск"
daily_supply,"Ежедневная акция"
gem_supply,"Пропуск на Кристаллы"
gem_supply_basic_title,"30-дневный базовый пропуск"
renew,Обновить
claim_daily,"Ежедневный бонус"
subscribe,Подписка
vip_claim,"Претендовать на ежедневные награды"
basic_supply,"Основные поставки"
vip_remain,"VIP вступает в силу"
restore,Восстановить
advanced_supply,"Расширенное снабжение"
resource_not_enough_201,"Недостаточно драгоценных камней"
purchase,Покупка
gf_tab_name_5,"Камни Роста"
growth_fund,"Фонд Роста"
get_more_army,"Получите больше солдат"
gf_banner_desc_5_format,"Наслаждайтесь своим эксклюзивным возвратом стоимости в размере <color=#ffe300><size=42>{0}</size></color>!"
choice_army_4,"Выберите легендарного солдата"
total_earned,"Всего получено"
gf_banner_title_4,"Фонд Роста Самоцветов"
gf_banner_desc_4_format,"Наслаждайтесь вашей эксклюзивной <color=#ffe300><size=42>{0}</size></color> скидкой!"
gf_shop_banner_desc,"Щедрые награды за рост уровней!"
build_your_own_army,"Создайте свою непобедимую армию!"
troop_choice_pack,"Набор ""Выбор солдата"""
gf_rwd_claim_cond,"Разблокируйте Фонд Роста, чтобы получить награды."
choice_army_5,"Выберите мифического солдата"
skin_store,Украшения
vip_subscribe_now,"Подпишись сейчас"
shop_goods_105,Неделя
shop_coin,Монеты
buy_now,"Купить сейчас"
store_purchase_content,"Уважаемый Командир,

Ваш недавний заказ в магазине 89T успешно завершен! 
В этом письме вы найдете купленные предметы.

Благодарим за вашу поддержку! 
Наслаждайтесь наградами и продолжайте завоевывать!

- War Inc: Rising"
resource_not_enough_101,"Недостаточно монет"
christmas_gift_chatBubble_1,"Рождественский стильный набор I"
immediate_receive,Сразу
christmas_gift_2,"Рождественский подарочный набор II"
christmas_pack_gift_desc,"Теплые рождественские награды!"
christmas_gift_chatBubble_2,"Рождественский стильный набор II"
