Key,Content
battle_pre_draw_net_error,"Tín hiệu không ổn định. Đang kết nối lại chiến trường…"
battle_pre_draw_error,"Binh Lính đang phản hồi…"
unit_attr_3,"Loại sát thương"
sort_type_name_2,"Mới Được Mua Gần Đây"
card_filter_0_2,"Sát Thương"
unit_attr_desc_7_7,"Mặt đất và Không trung"
clear,"Rõ ràng"
unit_attr_1,"Tấn công"
card_filter_0_3,"Xe tăng"
card_filter_4_2,Hiếm
card_filter_4_4,"Huyền Thoại"
unit_attr_desc_6_1,"Đơn lẻ"
unlock_with_level_tips,"Mở khóa theo cấp độ"
card_filter_5_2,"Mặt đất"
card_filter_4_3,"Sử thi"
unit_attr_8,"Đối tượng Ưu tiên"
unit_attr_2,"Sức khỏe"
unit_attr_desc_11_5,"Trang trí"
unit_attr_desc_6_2,"Bắn tung tóe"
unit_attr_7,"Loại Đơn vị Mục tiêu"
filter,Lọc
status,"Trạng thái"
finish,"Hoàn thành"
merge,Gộp
my_card,"Quân Đội"
card_filter_5_4,"Không khí"
not_obtain,"Đơn vị này chưa được thu thập"
moveType,"Loại di chuyển"
quality,"Độ hiếm"
unit_attr_desc_7_4,Khí
upgrade,"Nâng cấp"
card_to_collect,"Đã thu thập"
normal,"Thông thường"
sort,"Sắp xếp"
unit_attr_4,"Tốc độ Tấn công"
card_filter_0_1,"Chiến binh"
unit_attr_5,"Thời gian nâng cấp"
unit_attr_9,"Chi phí"
unit_attr_desc_7_3,"Mặt đất"
unit_attr_10,"Tốc độ Di chuyển"
unit_attr_6,"Loại tấn công"
card_filter_0_4,"Sát thủ"
validity,"Thời hạn: {0} ngày"
gem_supply_advanced_title,"Thẻ Cao Cấp 30 Ngày"
daily_supply,"Gói Hàng Ngày"
gem_supply,"Thẻ Gem"
gem_supply_basic_title,"Vé Cơ Bản 30 Ngày"
renew,"Gia hạn"
claim_daily,"Quà mỗi ngày"
subscribe,"Đăng ký"
vip_claim,"Nhận phần thưởng hàng ngày"
basic_supply,"Nguồn Cung Cấp Cơ Bản"
vip_remain,"VIP đang hoạt động"
restore,"Khôi phục"
advanced_supply,"Nguồn Cung Cấp Cao Cấp"
resource_not_enough_201,"Không Đủ Ngọc"
purchase,Mua
gf_tab_name_5,"Đá Rèn"
growth_fund,"Quỹ Phát Triển"
get_more_army,"Nhận Thêm Binh Lính"
gf_banner_desc_5_format,"Tận hưởng khoản hoàn trả giá trị độc quyền <color=#ffe300><size=42>{0}</size></color> của bạn!"
choice_army_4,"Chọn Chiến Binh Huyền Thoại"
total_earned,"Tổng đã nhận"
gf_banner_title_4,"Quỹ Phát Triển Đá Quý"
gf_banner_desc_4_format,"Tận hưởng hoàn tiền giá trị độc quyền <color=#ffe300><size=42>{0}</size></color> của bạn!"
gf_shop_banner_desc,"Nâng cấp EXP của bạn để nhận phần thưởng phong phú!"
build_your_own_army,"Xây dựng đội quân tối thượng của bạn!"
troop_choice_pack,"Gói Lựa Chọn Lính"
gf_rwd_claim_cond,"Mở Quỹ Phát Triển để nhận phần thưởng"
choice_army_5,"Chọn Chiến Binh Thần Thoại"
skin_store,"Mỹ phẩm"
vip_subscribe_now,"Đăng Ký Ngay"
shop_goods_105,Tuần
shop_coin,Xu
buy_now,"Mua Ngay"
store_purchase_content,"Chỉ huy thân mến,

Giao dịch mua gần đây của bạn tại 89T Store đã được hoàn tất thành công!
Trong email này, bạn sẽ tìm thấy các mặt hàng đã mua.

Cảm ơn sự ủng hộ của bạn!
Hãy tận hưởng phần thưởng của mình và tiếp tục chinh phục!

- War Inc: Rising"
resource_not_enough_101,"Không Đủ Xu"
christmas_gift_chatBubble_1,"Bộ sưu tập phong cách Giáng sinh I"
immediate_receive,"Có sẵn ngay bây giờ"
christmas_gift_2,"Bộ quà tặng Giáng sinh II"
christmas_pack_gift_desc,"Phần thưởng Giáng sinh ấm áp!"
christmas_gift_chatBubble_2,"Bộ sưu tập phong cách Giáng sinh II"
christmas_pack_desc,"Hãy thắp sáng mùa Giáng sinh của bạn!"
store_purchase_title,"Mua tại Cửa hàng 89T"
camp_avatar_pack_2_2,"Gói chăm sóc da Chúa Thủy Triều I"
camp_emoji_pack_2_2,"Gói chăm sóc da II Chúa Thủy Triều"
camp_avatar_pack_2_1,"Gói chăm sóc da Vua Lửa I"
camp_emoji_pack_2_1,"Gói chăm sóc da II Vua Lửa"
vip_desc,"Nhận 10 Viên Đá Vĩnh Cửu mỗi ngày."
theme,"Chủ đề"
source_shop,"Tải về từ cửa hàng."
resource_2,"Đá Vĩnh Hằng"
christmas_gift_1,"Bộ quà tặng Giáng sinh I"
resource_not_enough_common,"Không Đủ Tài Nguyên"
gem_supply_bubble_desc,"<size=40><color=#037ddc>Thẻ Cơ Bản 30 Ngày</color></size>

1. Khi mua, nhận ngay {0} Đá Quý và kích hoạt thẻ trong 30 ngày.

2. Trong thời gian hiệu lực của thẻ, bạn có thể nhận {1} Đá Quý mỗi ngày (đặt lại vào lúc 00:00 UTC).
Đá Quý chưa nhận hàng ngày sẽ không được hoàn trả sau khi thẻ hết hạn.

<size=40><color=#037ddc>Thẻ Nâng Cao 30 Ngày</color></size>

1. Khi mua, nhận ngay {2} Đá Quý và kích hoạt thẻ trong 30 ngày.

2. Trong thời gian hiệu lực của thẻ, bạn có thể nhận {3} Đá Quý mỗi ngày (đặt lại vào lúc 00:00 UTC).
Đá Quý chưa nhận hàng ngày sẽ không được hoàn trả sau khi thẻ hết hạn."
gf_tab_name_4,"Đá quý"
camp_pack_desc,"Mở khóa các trang phục Rồng độc quyền!"
gf_banner_title_5,"Quỹ Phát Triển Đá Rèn"
refresh_in,"Làm mới trong"
pack_off,"{0}% Giảm Giá"
gem_supply_daily_title,"Phần thưởng Pass"
pack_value,"{0}%
giá trị"
purchased,"Đã mua"
exchange_count_msg,"Vui lòng chọn số lượng mặt hàng bạn muốn đổi."
vip_claim_desc,"Đá Vĩnh Cửu Hàng Ngày Thêm!"
shop_desc_106,"Thời gian đăng ký: 1 tháng.
Dùng thử miễn phí: Thưởng thức dùng thử MIỄN PHÍ trong 3 ngày! Sau khi thử nghiệm kết thúc, bạn sẽ bị tính phí {0} mỗi tháng.
Tự động gia hạn: Thành viên VIP là gói đăng ký hàng tháng lặp lại. Tài khoản của bạn sẽ tự động bị tính phí cho kỳ tiếp theo trừ khi bạn hủy ít nhất 24 giờ trước khi kết thúc kỳ hiện tại.
Hủy gia hạn: Bạn có thể quản lý và tắt tự động gia hạn của đăng ký bằng cách vào cài đặt tài khoản của bạn trên Google Play sau khi mua hàng.

Khi kích hoạt đăng ký này, bạn sẽ nhận được:  
1) 10 Đá Vĩnh Cửu mỗi ngày."
purchase_limit,"Ưu Đãi Hạn Chế"
