Key,Content
battle_pre_draw_net_error,网络波动，战场信号重连中…
battle_pre_draw_error,士兵响应中…
unit_attr_3,伤害类型
sort_type_name_2,最近获得
card_filter_0_2,输出
unit_attr_desc_7_7,地面和空中
clear,清除
unit_attr_1,攻击
card_filter_0_3,坦克
card_filter_4_2,稀有
card_filter_4_4,传奇
unit_attr_desc_6_1,单体
unlock_with_level_tips,随关卡解锁
card_filter_5_2,地面
card_filter_4_3,史诗
unit_attr_8,选敌偏好
unit_attr_2,血量
unit_attr_desc_11_5,装饰
unit_attr_desc_6_2,溅射
unit_attr_7,目标类型
filter,筛选
status,状态
finish,完成
merge,合成
my_card,士兵
card_filter_5_4,飞行
not_obtain,尚未获得该士兵
moveType,移动方式
quality,稀有度
unit_attr_desc_7_4,空中
upgrade,升级
card_to_collect,已收集
normal,基础
sort,排序
unit_attr_4,攻击速度
card_filter_0_1,战士
unit_attr_5,升级时间
unit_attr_9,水费
unit_attr_desc_7_3,地面
unit_attr_10,移动速度
unit_attr_6,攻击方式
card_filter_0_4,刺客
validity,有效期：{0}天
gem_supply_advanced_title,30天进阶月卡
daily_supply,每日补给
gem_supply,宝石月卡
gem_supply_basic_title,30天基础月卡
renew,续订
claim_daily,每日领取
subscribe,订阅
vip_claim,领取每日奖励
basic_supply,基础补给
vip_remain,VIP生效
restore,恢复
advanced_supply,进阶补给
resource_not_enough_201,宝石不足
purchase,购买
gf_tab_name_5,锻造石
growth_fund,成长基金
get_more_army,获取更多士兵
gf_banner_desc_5_format,"享受属于你的 <color=#ffe300><size=42>{0}</size></color> 超值返利！"
choice_army_4,选择传奇士兵
total_earned,累计获取
gf_banner_title_4,宝石成长基金
gf_banner_desc_4_format,"享受属于你的 <color=#ffe300><size=42>{0}</size></color> 超值返利！"
gf_shop_banner_desc,提升经验值等级，赢取丰厚奖励！
build_your_own_army,打造你的超级军团！
troop_choice_pack,士兵自选礼包
gf_rwd_claim_cond,解锁成长基金以领取丰厚奖励
choice_army_5,选择神话士兵
skin_store,装扮
vip_subscribe_now,现在订阅
shop_goods_105,周
shop_coin,金币
buy_now,立即购买
store_purchase_content,"尊敬的指挥官：

您在89T商店的最近一次购买已成功完成！在这封邮件中，您将找到所购得的物品。

感谢您的支持！尽情享受您的奖励，继续征服吧！

——战争公司：崛起"
resource_not_enough_101,金币不足
christmas_gift_chatBubble_1,圣诞氛围装扮包1
immediate_receive,立即获得
christmas_gift_2,圣诞馈赠礼包2
christmas_pack_gift_desc,暖心圣诞，好礼馈赠！
christmas_gift_chatBubble_2,圣诞氛围装扮包2
christmas_pack_desc,点缀你的圣诞时光！
store_purchase_title,89T商店购买
camp_avatar_pack_2_2,潮汐领主装扮礼包1
camp_emoji_pack_2_2,潮汐领主装扮礼包2
